plant_id,treatment,light_hours,height_cm
P001,control,10.4,209.0
P002,fertilizer,10.8,25.8
P003,control,8.2,
P004,fertilizer,6.0,22.5
P005,control,,13.3
P006,fertilizer,11.0,23.8
P007,control,13.6,21.1
P008,fertilizer,10.0,25.8
P009,control,9.4,20.5
P010,Fertilizer,10.2,24.8
P011,control,11.0,21.1
P012,fertilizer,6.3,22.8
P013,control,10.4,18.0
P014,fertilizer,13.4,28.8
P015,control,5.7,15.8
P016,fertilizer,10.4,24.1
P017,control,,20.9
P018,fertilizer,6.7,21.3
P019,control,12.8,19.8
P020,Fertilizer,8.6,26.7
P021,control,9.6,18.5
P022,fertilizer,6.2,25.0
P023,control,4.9,16.4
P024,fertilizer,8.2,24.0
P025,control,14.0,
P026,fertilizer,11.2,24.9
P027,control,6.7,16.1
P028,fertilizer,13.5,26.7
P029,control,9.0,20.2
P030,Fertilizer,10.4,29.3
P031,control,11.6,
P032,fertilizer,,22.2
P033,control,,21.8
P034,fertilizer,13.5,26.0
P035,control,4.7,15.5
P036,fertilizer,9.5,21.2
P037,control,8.2,18.3
P038,fertilizer,7.1,25.4
P039,control,8.4,16.9
P040,Fertilizer,9.9,24.8
P041,control,4.7,14.3
P042,fertilizer,4.7,20.2
P043,control,6.1,219.4
P044,fertilizer,11.8,29.7
P045,control,5.0,13.6
P046,fertilizer,10.7,26.4
P047,control,8.0,15.5
P048,fertilizer,8.5,27.3
P049,control,6.5,185.0
P050,Fertilizer,4.5,20.1
P051,control,13.7,25.1
P052,fertilizer,6.1,205.0
P053,control,7.8,19.0
P054,fertilizer,8.2,23.6
P055,control,9.6,18.5
P056,fertilizer,9.8,23.7
P057,control,4.6,13.2
P058,fertilizer,13.6,26.3
P059,control,10.0,18.3
P060,Fertilizer,6.5,21.2
P061,control,8.2,15.6
P062,fertilizer,11.2,24.6
P063,control,10.7,19.0
P064,fertilizer,8.6,25.7
P065,control,4.7,157.0
P066,fertilizer,12.8,28.5
P067,control,12.3,19.8
P068,fertilizer,4.1,18.2
P069,control,10.6,20.4
P070,Fertilizer,9.5,24.2
P071,control,11.2,20.7
P072,fertilizer,13.1,29.9
P073,control,8.2,17.7
P074,fertilizer,6.6,22.8
P075,control,8.3,18.6
P076,fertilizer,9.5,24.7
P077,control,5.5,17.0
P078,fertilizer,12.6,28.1
P079,control,6.5,19.3
P080,Fertilizer,10.2,27.2
P081,control,12.6,
P082,fertilizer,11.4,25.4
P083,control,12.0,22.8
P084,fertilizer,5.1,18.8
P085,control,6.2,17.2
P086,fertilizer,,20.4
P087,control,7.3,20.5
P088,fertilizer,8.0,19.7
P089,control,13.4,25.4
P090,Fertilizer,6.7,26.2
P091,control,11.3,18.8
P092,fertilizer,9.8,27.4
P093,control,4.0,17.0
P094,fertilizer,10.7,24.4
P095,control,10.6,18.6
P096,fertilizer,7.0,24.4
P097,control,8.0,17.3
P098,fertilizer,10.8,26.6
P099,control,7.0,16.8
P100,Fertilizer,9.8,24.8
P101,control,8.4,18.4
P102,fertilizer,5.7,24.2
P103,control,10.3,17.3
P104,fertilizer,6.2,
P105,control,6.4,12.6
P106,fertilizer,10.3,25.8
P107,control,,18.3
P108,fertilizer,11.7,29.1
P109,control,,18.4
P110,Fertilizer,12.5,26.1
P111,control,10.7,22.2
P112,fertilizer,10.1,24.9
P113,control,12.3,16.5
P114,fertilizer,6.6,21.4
P115,control,11.7,17.4
P116,fertilizer,6.9,22.5
P117,control,9.4,19.5
P118,fertilizer,4.6,22.3
P119,control,8.2,18.3
P120,Fertilizer,11.0,27.7
